Date;High;Low;Close;Volume
31/01/2015;22.040.446.699.766.300;2.101.435.336.538.460;21.958.359.375;1180897500
28/02/2015;2.388.741.515.354.400;2.175.314.223.614.520;2.314.862.548.828.120;1152857500
31/03/2015;243.388.916.015.625;23.025.492.159.031.300;243.388.916.015.625;1522251500
30/04/2015;2.561.125.459.558.820;21.318.742.553.484.400;2.226.899.658.203.120;2068518500
31/05/2015;23.962.931.456.881.500;22.145.058.702.056.300;23.343.203.125;1399855000
30/06/2015;23.343.203.125;21.566.636.603.321.400;2.231.031.982.421.870;1417973500
31/07/2015;22.971.364.098.011.300;209.055.925.207.472;216.492.724.609.375;1123814500
31/08/2015;22.971.367.385.695.300;1.817.878.050.677.540;213.187.451.171.875;1837630500
30/09/2015;212.361.148.926.752;18.674.560.772.551.200;202.858.642.578.125;1291060500
31/10/2015;227.647.812.925.774;19.624.818.115.234.300;213.187.451.171.875;1732905000
30/11/2015;22.778.709.985.306.400;2.053.818.603.515.620;2.053.818.603.515.620;1479289500
31/12/2015;2.290.318.757.898.660;2.107.757.025.722.280;2.207.336.181.640.620;1244290000
31/01/2016;22.488.270.955.023.300;211.605.517.578.125;2.174.142.822.265.620;1877079000
29/02/2016;22.529.770.079.655.400;21.368.010.314.824.200;2.236.379.638.671.870;2126012500
31/03/2016;2.311.064.816.662.860;21.658.449.350.317.200;2.207.336.181.640.620;1749028500
30/04/2016;22.322.309.927.591.400;21.374.021.589.949.300;218.341.259.765.625;1081937000
31/05/2016;2.225.240.654.222.890;21.541.329.627.403.800;2.175.046.875;1601556000
30/06/2016;22.503.372.548.516.600;21.123.051.604.926.000;222.942.333.984.375;1820216500
31/07/2016;24.552.933.068.554.000;22.085.088.684.428.100;24.176.484.375;2433539000
31/08/2016;2.593.324.971.550.220;2.405.100.436.170.560;251.803.515.625;2503034000
30/09/2016;26.769.809.912.420.300;24.762.078.203.255.400;262.678.759.765.625;2113613500
31/10/2016;27.104.431.393.045.700;2.568.228.343.383.390;2.597.508.544.921.870;1528542500
30/11/2016;2.618.421.731.201.960;23.339.925.534.986.400;2.392.551.513.671.870;2331720500
31/12/2016;26.144.892.373.361.800;23.748.972.732.956.300;260.608.251.953.125;1934166500
31/01/2017;26.691.327.390.245.500;25.136.083.984.375;2.572.455.322.265.620;1060211500
28/02/2017;26.397.089.208.984.300;2.522.014.892.578.120;2.597.675.048.828.120;1281602000
31/03/2017;28.582.832.414.794.100;2.580.861.387.286.700;2.782.622.802.734.370;2253395500
30/04/2017;3.049.265.380.859.370;2.786.826.416.015.620;3.006.914.306.640.620;1549815500
31/05/2017;3.142.437.378.607.850;28.459.808.728.448.200;290.527.294.921.875;3121828500
30/06/2017;3.104.321.661.999.070;290.527.294.921.875;3.074.676.025.390.620;1885510000
31/07/2017;32.186.693.037.317.100;3.061.970.500.884.180;316.784.814.453.125;1522488500
31/08/2017;32.525.501.319.261.200;31.339.669.158.404.400;321.019.921.875;1109861000
30/09/2017;34.515.995.615.691.300;31.636.130.059.493.200;3.438.894.287.109.370;1489716500
31/10/2017;3.621.002.432.686.940;33.965.427.805.830.700;35.405.361.328.125;1669109000
30/11/2017;3.663.353.415.012.910;3.455.833.791.208.790;346.036.083.984.375;1777042500
31/12/2017;3.868.462.220.631.770;346.036.083.984.375;372.392.626.953.125;1395856500
31/01/2018;39.874.915.969.580.900;3.626.151.949.669.120;3.864.211.181.640.620;1685130000
28/02/2018;4.200.044.828.190.170;3.885.465.607.244.310;394.072.998.046.875;1474075000
31/03/2018;40.470.068.359.375;38.302.028.819.396.400;3.961.985.595.703.120;1852434000
30/04/2018;4.021.500.318.717.340;36.751.899.342.256.400;3.786.559.326.171.870;754927500
31/05/2018;39.493.294.739.440.200;3.679.473.209.654.210;3.889.361.328.125;1732935000
30/06/2018;39.664.633.119.601.800;356.810.375.948.141;367.947.314.453.125;1298672500
31/07/2018;4.047.849.011.191.210;3.529.552.490.234.370;3.987.880.859.375;1443882500
31/08/2018;4.364.823.586.369.790;3.945.046.320.229.380;42.491.708.984.375;1706437500
30/09/2018;4.317.704.382.274.790;40.435.644.214.954.400;413.780.078.125;1446666000
31/10/2018;4.146.368.072.318.630;37.994.092.138.032.200;405.213.232.421.875;1440714500
30/11/2018;448.904.296.875;40.007.309.849.185.400;4.463.341.796.875;1943114500
31/12/2018;4.636.959.636.836.080;428.027.032.561.081;44.693.583.984.375;1697623000
31/01/2019;4.847.534.764.585.180;4.396.301.478.323.320;48.432.373.046.875;1859122000
28/02/2019;4.942.078.882.334.180;4.585.389.653.903.330;474.009.814.453.125;1493339500
31/03/2019;481.315.447.314.982;4.662.743.276.983.110;47.358.017.578.125;790477000
30/04/2019;49.959.303.260.869.500;4.684.230.867.928.830;49.872.568.359.375;989206000
31/05/2019;5.113.022.096.002.550;4.458.173.185.554.130;5.047.970.703.125;1700900500
30/06/2019;5.368.890.915.643.600;5.021.950.215.499.830;51.997.568.359.375;1178851500
31/07/2019;5.455.625.092.409.280;5.087.002.458.844.860;536.889.013.671.875;1048706500
31/08/2019;5.438.278.244.829.400;500.026.754.906.064;52.908.291.015.625;1525333000
30/09/2019;5.295.165.582.092.890;50.132.776.892.902.200;52.648.076.171.875;1255296000
31/10/2019;5.485.983.091.292.840;5.160.726.193.055.410;5.455.625;1249113500
30/11/2019;5.533.687.073.384.130;53.862.367.479.846.700;5.446.951.171.875;1296823000
31/12/2019;5.916.637.617.968.170;5.438.277.714.615.750;581.657.666.015.625;1275070500
31/01/2020;6.142.861.410.993.500;563.820.849.609.375;563.820.849.609.375;1551656000
29/02/2020;5.934.039.335.764.910;5.251.015.275.285.050;547.288.916.015.625;2120977500
31/03/2020;5.690.413.065.450.170;37.631.560.396.317.300;48.072.685.546.875;3403123000
30/04/2020;53.075.715.800.453.100;4.248.649.484.536.080;45.761.494.140.625;2545355000
31/05/2020;4.779.731.142.755.000;41.424.326.171.875;459.385.205.078.125;2378008000
30/06/2020;53.063.861.572.896.400;4.638.108.004.897.380;5.040.845.703.125;2216937000
31/07/2020;5.545.373.155.163.180;5.023.142.757.021.140;5.523.244.140.625;1503022500
31/08/2020;5.841.892.817.191.100;5.155.912.663.769.370;555.422.412.109.375;1099871500
30/09/2020;58.064.871.187.839.900;4.770.878.600.457.700;479.743.310.546.875;2821163000
31/10/2020;522.229.833.984.375;4.815.136.608.764.750;512.493.310.546.875;1463911000
30/11/2020;5.886.149.340.080.490;5.062.972.817.332.470;5.492.263.671.875;2529672000
31/12/2020;6.214.715.395.750.720;55.055.412.721.730.800;601.051.806.640.625;2005640000
31/01/2021;6.552.085.742.460.280;59.528.095.246.484.900;600.164.013.671.875;1834336000
28/02/2021;6.263.545.164.251.600;5.855.149.501.409;595.724.853.515.625;1413109500
31/03/2021;6.356.766.106.668.740;5.455.632.144.697.800;5.517.779.296.875;2371572500
30/04/2021;58.156.903.291.366.000;5.383.565.564.778.640;576.617.578.125;1974207500
31/05/2021;585.170.068.359.375;5.635.637.417.391.410;573.916.845.703.125;1683020000
30/06/2021;5.959.732.145.825.410;5.401.571.090.508.290;542.407.763.671.875;1580537000
31/07/2021;5.572.620.159.259.780;53.655.598.827.470.600;53.745.625;1220667000
31/08/2021;6.085.768.918.678.970;5.316.045.178.304.580;589.671.435.546.875;1771916500
30/09/2021;630.183.251.953.125;5.770.677.369.464.650;630.183.251.953.125;1465856000
31/10/2021;7.427.158.965.557.510;6.040.755.958.331.400;672.945.654.296.875;2017737600
30/11/2021;6.977.028.119.160.090;6.481.053.384.316.930;65.713.818.359.375;1544359400
31/12/2021;679.720.236.692.267;657.138.169.028.072;65.939.638.671.875;1280505100
31/01/2022;718.109.716.796.875;65.939.638.305.247.400;688.753.076.171.875;1472535200
28/02/2022;7.384.336.615.331.420;6.910.113.019.169.320;727.142.626.953.125;1312503600
31/03/2022;7.497.246.533.203.120;691.011.279.296.875;73.140.810.546.875;2254595300
30/04/2022;7.566.290.670.072.110;6.993.086.495.991.620;745.164.990.234.375;1705910600
31/05/2022;7.245.296.534.488.070;6.649.164.341.517.850;71.077.275.390.625;2608979400
30/06/2022;70.389.431.521.767.000;66.491.640.625;66.491.640.625;2042126700
31/07/2022;6.855.518.214.219.280;6.419.882.466.201.240;674.087.744.140.625;1422575700
31/08/2022;7.589.218.469.275.610;674.087.640.625;75.204.345.703.125;2055623100
30/09/2022;8.139.493.784.877.230;7.451.649.971.242.330;78.414.287.109.375;2394672300
31/10/2022;816.242.236.328.125;7.451.649.419.945.400;807.071.044.921.875;1737574600
30/11/2022;8.620.986.055.107.520;7.841.428.361.759.620;85.292.734.375;2309626900
31/12/2022;8.575.128.895.399.300;7.687.900.353.285.840;787.204.248.046.875;2124227400
31/01/2023;81.482.549.417.429.900;7.365.653.365.384.610;780.298.974.609.375;1941986600
28/02/2023;824.032.421.875;77.339.353.735.207.100;80.561.826.171.875;1332060800
31/03/2023;8.358.078.755.754.240;7.595.830.386.977.590;82.172.119.140.625;1975372100
30/04/2023;8.639.810.546.875;8.123.300.714.476.490;84.989.443.359.375;1097882300
31/05/2023;8.757.199.844.277.870;817.025.634.765.625;84.989.443.359.375;2259737500
30/06/2023;8.757.199.277.131.450;8.405.033.348.800.060;85.928.564.453.125;1050138400
31/07/2023;8.827.633.299.457.990;8.475.466.589.153.140;85.693.779.296.875;1307303300
31/08/2023;8.874.589.287.940.490;854.589.976.796.662;86.163.330.078.125;1406160600
30/09/2023;8.710.244.558.773.710;82.876.455.078.125;82.876.455.078.125;1277052400
31/10/2023;8.686.766.038.977.580;8.170.255.594.544.490;82.172.119.140.625;1473758400
30/11/2023;85.224.228.515.625;807.634.619.140.625;84.285.107.421.875;1367708700
31/12/2023;8.916.931.484.790.550;81.856.484.375;8.869.751.953.125;1671827300
31/01/2024;9.223.599.152.800.320;8.775.393.706.133.020;90.112.919.921.875;1474778300
29/02/2024;945.949.609.375;8.987.701.324.861.290;93.179.580.078.125;1483790400
31/03/2024;9.813.343.515.625;92.000.078.125;972.574.609.375;1470759300
30/04/2024;9.749.879.550.682.100;8.929.345.600.057.710;9.460.279.296.875;1979724400
31/05/2024;9.556.813.430.546.460;847.081.142.578.125;89.293.447.265.625;2435798200
30/06/2024;9.629.213.020.997.320;87.362.783.203.125;95.809.462.890.625;1469153500
